dist,rssi
2.0,-6.7000000e+01
2.0,-6.8000000e+01
2.0,-6.7000000e+01
2.0,-7.1000000e+01
2.0,-6.8000000e+01
2.0,-6.7000000e+01
2.0,-6.8000000e+01
2.0,-6.8000000e+01
2.0,-6.7000000e+01
2.0,-7.1000000e+01
2.0,-7.2000000e+01
2.0,-6.6000000e+01
2.0,-6.8000000e+01
2.0,-7.0000000e+01
2.0,-7.0000000e+01
2.0,-6.8000000e+01
2.0,-7.0000000e+01
2.0,-6.8000000e+01
2.0,-7.0000000e+01
2.0,-6.6000000e+01
2.0,-6.7000000e+01
2.0,-6.8000000e+01
2.0,-6.6000000e+01
2.0,-6.8000000e+01
2.0,-6.7000000e+01
2.0,-7.0000000e+01
2.0,-6.8000000e+01
2.0,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.7000000e+01
2.5,-7.1000000e+01
2.5,-7.1000000e+01
2.5,-7.2000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-6.8000000e+01
2.5,-7.1000000e+01
2.5,-7.1000000e+01
2.5,-6.7000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.7000000e+01
2.5,-6.7000000e+01
2.5,-7.0000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.6000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.7000000e+01
2.5,-7.3000000e+01
2.5,-6.2000000e+01
2.5,-6.6000000e+01
2.5,-7.2000000e+01
2.5,-7.0000000e+01
2.5,-7.0000000e+01
2.5,-6.9000000e+01
2.5,-6.8000000e+01
2.5,-6.6000000e+01
2.5,-6.6000000e+01
2.5,-6.5000000e+01
2.5,-6.7000000e+01
2.5,-6.5000000e+01
2.5,-6.6000000e+01
2.5,-6.8000000e+01
2.5,-7.1000000e+01
2.5,-7.2000000e+01
2.5,-7.2000000e+01
2.5,-6.9000000e+01
2.5,-6.9000000e+01
2.5,-7.1000000e+01
2.5,-6.9000000e+01
2.5,-6.7000000e+01
2.5,-6.8000000e+01
2.5,-6.6000000e+01
2.5,-6.6000000e+01
2.5,-6.6000000e+01
2.5,-6.6000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.1000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-7.1000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.4000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-7.0000000e+01
2.5,-7.0000000e+01
2.5,-7.3000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
2.5,-7.3000000e+01
2.5,-6.8000000e+01
2.5,-7.0000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.3000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.6000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-7.3000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
3.0,-7.4000000e+01
3.0,-7.2000000e+01
3.0,-7.2000000e+01
